Name,Platform,Year,Genre,Publisher,Global_Sales
'Style Savvy',DS,2008,Simulation,Nintendo,2.61
'Harry Potter and the Chamber of Secrets',PS2,2002,Action,'Electronic Arts',2.61
'Super Mario All-Stars: Limited Edition',Wii,2010,Platform,Nintendo,2.6
'Streets of Rage',GEN,1990,Action,Sega,2.6
'FIFA Soccer 09',PS3,2008,Sports,'Electronic Arts',2.59
'Ratchet & Clank Future: Tools of Destruction',PS3,2007,Platform,'Sony Computer Entertainment',2.59
'NBA Live 2005',PS2,2004,Sports,'Electronic Arts',2.59
LittleBigPlanet,PSP,2009,Platform,'Sony Computer Entertainment',2.58
'Killzone: Shadow Fall',PS4,2013,Shooter,'Sony Computer Entertainment',2.58
'Ghostbusters: The Video Game (DS Version)',X360,2009,Action,'Take-Two Interactive',2.58
'Monster Hunter Freedom 2',PSP,2007,Role-Playing,Capcom,2.58
'WWE SmackDown vs. RAW 2007',PS2,2006,Fighting,THQ,2.58
'Ratchet & Clank: Up Your Arsenal',PS2,2004,Platform,'Sony Computer Entertainment',2.57
'Art Academy',DS,2010,Misc,Nintendo,2.57
'Dragon Age: Origins',X360,2009,Role-Playing,'Electronic Arts',2.57
'Madden NFL 08',PS2,2007,Sports,'Electronic Arts',2.57
'Sonic Adventure 2 Battle',GC,2001,Platform,Sega,2.56
'Dragon Warrior II',NES,1987,Role-Playing,'Enix Corporation',2.56
'Madden NFL 13',PS3,2012,Sports,'Electronic Arts',2.56
'Pokémon Colosseum',GC,2003,Role-Playing,Nintendo,2.54
'Deca Sports',Wii,2008,Sports,'Konami Digital Entertainment',2.54
'Madden NFL 09',X360,2008,Sports,'Electronic Arts',2.54
'Space Invaders',2600,N/A,Shooter,Atari,2.53
'Crazy Taxi',PS2,2001,Racing,'Acclaim Entertainment',2.52
'Perfect Dark',N64,2000,Action,Nintendo,2.52
'Game Party',Wii,2007,Misc,'Midway Games',2.52
'Dragon Warrior',NES,1986,Role-Playing,Capcom,2.52
'Tomb Raider (2013)',PS3,2013,Action,'Square Enix',2.51
'Marvel: Ultimate Alliance',X360,2006,Role-Playing,Activision,2.5
'PES 2009: Pro Evolution Soccer',PS2,2008,Sports,'Konami Digital Entertainment',2.5
'Mario Party 2',N64,1999,Misc,Nintendo,2.5
'Saints Row: The Third',PS3,2011,Action,THQ,2.49
'Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City',XB,2003,Action,'Take-Two Interactive',2.49
'LEGO Harry Potter: Years 1-4',Wii,2010,Action,'Warner Bros. Interactive Entertainment',2.49
'Mortal Kombat: Deadly Alliance',PS2,2002,Fighting,'Midway Games',2.49
'Resistance 2',PS3,2008,Shooter,'Sony Computer Entertainment',2.48
Pure,X360,2008,Racing,'Disney Interactive Studios',2.48
'Tomb Raider: The Last Revelation',PS,1998,Action,'Eidos Interactive',2.48
'NBA 2K13',PS3,2012,Sports,'Take-Two Interactive',2.48
'Rock Band',X360,N/A,Misc,'Electronic Arts',2.48
'NBA 2K14',X360,2013,Sports,'Take-Two Interactive',2.47
'Mario Party 4',GC,2002,Misc,Nintendo,2.47
'uDraw Studio',Wii,2010,Misc,THQ,2.46
'Midnight Club: Los Angeles',PS3,2008,Racing,'Take-Two Interactive',2.45
'Final Fantasy V',SNES,1992,Role-Playing,SquareSoft,2.45
'Final Fantasy Tactics',PS,1997,Role-Playing,SquareSoft,2.45
'Twisted Metal 2',PS,1996,Racing,'Sony Computer Entertainment',2.44
'Halo: Combat Evolved Anniversary',X360,2011,Shooter,'Microsoft Game Studios',2.44
'Need for Speed Carbon: Own the City',PSP,2006,Racing,'Electronic Arts',2.44
'The Sims: Bustin Out',PS2,2003,Simulation,'Electronic Arts',2.43
'Riven: The Sequel to Myst',PC,1997,Adventure,'Red Orb',2.43
'Tom Clancy Rainbow Six: Vegas 2',X360,2008,Shooter,Ubisoft,2.42
'Sonic Adventure',DC,1998,Platform,Sega,2.42
'Ice Hockey',NES,1988,Sports,Nintendo,2.42
'pro evolution soccer 2011',PS3,2010,Sports,'Konami Digital Entertainment',2.42
'Dragon Ball Z: Budokai 2',PS2,2003,Fighting,Atari,2.41
'ATV Offroad Fury',PS2,2001,Racing,'Sony Computer Entertainment',2.41
'Dino Crisis',PS,1998,Action,Capcom,2.41
Minecraft,XOne,2014,Misc,'Microsoft Game Studios',2.41
'Need for Speed: ProStreet',PS2,2007,Racing,'Electronic Arts',2.41
'Madden NFL 16',XOne,2015,Sports,'Electronic Arts',2.4
'Tetris Plus',PS,1996,Puzzle,JVC,2.4
'Pro Wrestling',NES,1987,Fighting,Nintendo,2.4
'Theme Hospital',PC,1997,Strategy,'Electronic Arts',2.4
'Frogger Adventures: Temple of the Frog',GBA,N/A,Adventure,'Konami Digital Entertainment',2.39
'Need for Speed (2015)',PS4,2015,Racing,'Electronic Arts',2.39
'Zumba Fitness',X360,2010,Sports,'505 Games',2.39
'LEGO Indiana Jones: The Original Adventures',Wii,N/A,Action,LucasArts,2.39
Monopoly,PC,1994,Misc,'Hasbro Interactive',2.39
'Batman: Arkham Origins',PS3,2013,Action,'Warner Bros. Interactive Entertainment',2.39
'Dead Island',X360,2011,Action,'Deep Silver',2.39
'Guitar Hero',PS2,2005,Misc,RedOctane,2.38
'LEGO Star Wars: The Complete Saga',PS3,2007,Action,LucasArts,2.38
'Kinect: Disneyland Adventures',X360,2011,Misc,'Microsoft Game Studios',2.38
'WCW/nWo Revenge',N64,1998,Fighting,THQ,2.38
Bloodborne,PS4,2015,Action,'Sony Computer Entertainment',2.38
'NBA 2K15',PS4,2014,Sports,'Take-Two Interactive',2.38
'Madden NFL 11',PS3,2010,Sports,'Electronic Arts',2.38
'Yu-Gi-Oh! The Duelists of the Roses',PS2,2001,Misc,'Konami Digital Entertainment',2.38
'Madden NFL 08',X360,2007,Sports,'Electronic Arts',2.37
'Half-Life 2',PC,2004,Shooter,'Vivendi Games',2.37
'The Incredibles',PS2,2004,Action,THQ,2.37
'Tony Hawk Underground 2',PS2,2004,Sports,Activision,2.37
'Madden NFL 10',PS3,2009,Sports,'Electronic Arts',2.37
'Kinect Sports: Season Two',X360,2011,Sports,'Microsoft Game Studios',2.36
'Kirby Dream Land 2',GB,1995,Platform,Nintendo,2.36
'LEGO Harry Potter: Years 1-4',DS,2010,Action,'Warner Bros. Interactive Entertainment',2.35
'Donkey Kong Land II',GB,1996,Platform,Nintendo,2.35
'Dragon Warrior Monsters',GB,1998,Role-Playing,'Eidos Interactive',2.35
'Midnight Club: Los Angeles',X360,2008,Racing,'Take-Two Interactive',2.35
'Skylanders SWAP Force',Wii,2013,Platform,Activision,2.34
'WWE SmackDown vs Raw 2008',PS2,2007,Fighting,THQ,2.34
'My Fitness Coach',Wii,2008,Sports,Ubisoft,2.34
'Resident Evil - Code: Veronica X',PS2,2001,Action,Capcom,2.34
'The Sims 3',X360,2010,Simulation,'Electronic Arts',2.33
'The Legend of Zelda: Majora Mask 3D',3DS,2015,Action,Nintendo,2.32
'NBA 2K16',XOne,2015,Sports,'Take-Two Interactive',2.32
'Just Dance Kids',Wii,2010,Misc,Ubisoft,2.32
'Mario Tennis',N64,2000,Sports,Nintendo,2.32
'Grand Theft Auto',PS,1997,Action,'Take-Two Interactive',2.32
'James Bond 007: Everything or Nothing',PS2,2004,Shooter,'Electronic Arts',2.31
'WarioWare Touched!',DS,2004,Puzzle,Nintendo,2.31
'Need For Speed: High Stakes',PS,1999,Racing,'Electronic Arts',2.31
'Chrono Trigger',SNES,1995,Role-Playing,SquareSoft,2.31
'Cool Boarders 3',PS,1998,Sports,'989 Studios',2.31
'LEGO Marvel Super Heroes',X360,2013,Action,'Warner Bros. Interactive Entertainment',2.3
'Guild Wars 2',PC,2012,Action,NCSoft,2.3
'Pokemon Ranger: Shadows of Almia',DS,2008,Role-Playing,Nintendo,2.3
'Dead Island',PS3,2011,Action,'Deep Silver',2.29
'Tomb Raider II',PC,1997,Action,'Eidos Interactive',2.29
'God of War: Ascension',PS3,2013,Action,'Sony Computer Entertainment',2.29
'Need for Speed Underground 2',XB,2004,Racing,'Electronic Arts',2.28
'Pro Evolution Soccer 2010',PS3,2009,Sports,'Konami Digital Entertainment',2.28
'Just Dance 2015',Wii,2014,Misc,Ubisoft,2.28
'Yokai Watch Busters',3DS,2015,Action,'Level 5',2.28
'Mario Bros.',NES,1983,Platform,Nintendo,2.28
'FIFA Soccer 09',PS2,2008,Sports,'Electronic Arts',2.28
'Star Wars: The Force Unleashed',PS3,2008,Action,LucasArts,2.28
'Borderlands 2',PS3,2012,Shooter,'Take-Two Interactive',2.28
'TOCA Touring Car Championship',PS,1997,Racing,Codemasters,2.28
'Paper Mario: Sticker Star',3DS,2012,Role-Playing,Nintendo,2.27
'Sonic Ultimate Genesis Collection',PS3,2009,Misc,Sega,2.27
'Super Monkey Ball: Banana Blitz',Wii,2006,Misc,Sega,2.27
'Kirby: Nightmare in Dream Land',GBA,2002,Platform,Nintendo,2.27
'Wario Land 4',GBA,2001,Platform,Nintendo,2.26
'Guitar Hero III: Legends of Rock',PS3,2007,Misc,Activision,2.26
'Call of Duty 3',Wii,N/A,Shooter,Activision,2.26
'Resident Evil 4',Wii,2007,Action,Capcom,2.26
Minecraft,PSV,2014,Misc,'Sony Computer Entertainment Europe',2.25
'Onimusha 2: Samurai Destiny',PS2,2002,Adventure,Capcom,2.25
'Cool Boarders 2',PS,1997,Sports,'UEP Systems',2.25
'Paper Mario: The Thousand-Year Door',GC,2004,Role-Playing,Nintendo,2.25
'Madden NFL 12',PS3,2011,Sports,'Electronic Arts',2.25
'Monster Hunter Tri',Wii,2009,Role-Playing,Nintendo,2.25
'Dissidia: Final Fantasy',PSP,2008,Fighting,'Square Enix',2.25
'Sonic Advance',GBA,2001,Platform,Sega,2.24
'Spyro: Season of Ice',GBA,2001,Platform,'Vivendi Games',2.23
'Teenage Mutant Ninja Turtles II: The Arcade Game',NES,1990,Action,'Konami Digital Entertainment',2.23
'LEGO Indiana Jones: The Original Adventures',DS,2008,Action,Activision,2.23
'Dance Dance Revolution X2',PS2,2009,Simulation,'Konami Digital Entertainment',2.23
'New Super Luigi U',WiiU,2013,Platform,Nintendo,2.22
'Prince of Persia: The Sands of Time',PS2,2003,Action,Ubisoft,2.22
Scribblenauts,DS,2009,Puzzle,'Warner Bros. Interactive Entertainment',2.22
'The Legend of Zelda: Link Awakening DX',GB,1998,Adventure,Nintendo,2.22
'Need for Speed: Hot Pursuit',X360,2010,Racing,'Electronic Arts',2.22
'BioShock 2',X360,2010,Shooter,'Take-Two Interactive',2.21
'Assassin Creed IV: Black Flag',XOne,2013,Action,Ubisoft,2.21
'Devil May Cry 3: Dante Awakening Special Edition',PS2,2006,Action,Capcom,2.21
'Rock Band 2',X360,2008,Misc,'Electronic Arts',2.2
Frogger,2600,1981,Action,'Parker Bros.',2.2
'Guitar Hero II',X360,2007,Misc,Activision,2.2
'Wario Land 3',GB,2000,Platform,Nintendo,2.2
'Pro Yakyuu Family Stadium',NES,1986,Sports,'Namco Bandai Games',2.2
'Sonic Unleashed',Wii,2008,Platform,Sega,2.2
'High School Musical: Makin the Cut!',DS,2007,Puzzle,'Disney Interactive Studios',2.2
'Pro Evolution Soccer 2012',PS3,2011,Action,'Konami Digital Entertainment',2.19
'Saints Row',X360,2006,Action,THQ,2.19
'Star Wars: Knights of the Old Republic',XB,2003,Role-Playing,Activision,2.19
'Kirby Pinball Land',GB,1992,Misc,Nintendo,2.19
'Donkey Kong Country',GB,2000,Platform,Nintendo,2.19
'Hitman: Absolution',PS3,2012,Action,'Square Enix',2.19
'Yu-Gi-Oh: Duel Monsters 4',GB,2000,Role-Playing,'Konami Digital Entertainment',2.18
'ATV Offroad Fury 2',PS2,2002,Racing,THQ,2.18
'Forza Motorsport 5',XOne,2013,Racing,'Microsoft Game Studios',2.18
'Madden NFL 25',X360,2013,Sports,'Electronic Arts',2.18
'Pokemon Ranger',DS,2006,Role-Playing,Nintendo,2.18
'Mario & Luigi: Superstar Saga',GBA,2003,Role-Playing,Nintendo,2.17
'Final Fantasy XIII',X360,2010,Role-Playing,'Square Enix',2.17
'Star Wars: Rogue Squadron',N64,1998,Simulation,Nintendo,2.17
Tennis,NES,1984,Sports,Nintendo,2.17
'The Sims: House Party',PC,2001,Simulation,'Electronic Arts',2.16
'Your Shape featuring Jenny McCarthy',Wii,2009,Sports,Ubisoft,2.16
'Syphon Filter 2',PS,2000,Shooter,'Sony Computer Entertainment',2.15
'Tom Clancy Rainbow Six: Siege',PS4,2015,Shooter,Ubisoft,2.15
Volleyball,NES,1987,Sports,Nintendo,2.15
'FIFA 15',XOne,2014,Sports,'Electronic Arts',2.15
'Call of Duty: Roads to Victory',PSP,2007,Shooter,Activision,2.14
'Super Mario RPG: Legend of the Seven Stars',SNES,1996,Role-Playing,Nintendo,2.14
Mahjong,NES,1983,Misc,Nintendo,2.14
'R.C. Pro-Am',NES,1988,Racing,Nintendo,2.14
'SimCity 2000',PC,1992,Simulation,Maxis,2.14
'Demon Attack',2600,1981,Shooter,Imagic,2.13
'Dance Dance Revolution Extreme',PS2,2004,Simulation,'Konami Digital Entertainment',2.13
'Tetris DS',DS,2006,Puzzle,Nintendo,2.13
'Final Fantasy Tactics Advance',GBA,2003,Role-Playing,SquareSoft,2.13
'Far Cry: Primal',PS4,2016,Action,Ubisoft,2.13
'Toy Story 3: The Video Game',DS,2010,Action,'Disney Interactive Studios',2.12
'Final Fantasy III',DS,2006,Role-Playing,'Square Enix',2.12
'Kirby Epic Yarn',Wii,2010,Platform,Nintendo,2.12
'Project Gotham Racing',XB,2001,Racing,'Microsoft Game Studios',2.12
Golf,GB,1989,Sports,Nintendo,2.12
'NBA 2K12',PS3,2011,Sports,'Take-Two Interactive',2.11
Borderlands,PS3,2009,Shooter,'Take-Two Interactive',2.11
'Tony Hawk Pro Skater',N64,2000,Sports,Activision,2.11
'PES 2009: Pro Evolution Soccer',PS3,2008,Sports,'Konami Digital Entertainment',2.11
'Need for Speed: Hot Pursuit 2',PS2,2002,Racing,'Electronic Arts',2.11
'Mario Sports Mix',Wii,2010,Sports,Nintendo,2.11
'Rock Band',Wii,N/A,Misc,'MTV Games',2.11
'Dynasty Warriors 4',PS2,2003,Action,'Tecmo Koei',2.11
'Mortal Kombat',X360,2011,Fighting,'Warner Bros. Interactive Entertainment',2.11
'Parasite Eve',PS,1998,Role-Playing,SquareSoft,2.1
'Scooby-Doo! Night of 100 Frights',PS2,2002,Platform,THQ,2.1
'Project Gotham Racing (JP weekly sales)',XB,2002,Action,'Microsoft Game Studios',2.1
'Need for Speed: Most Wanted 5-1-0',PSP,2005,Racing,'Electronic Arts',2.1
'Portal 2',X360,2011,Shooter,'Valve Software',2.1
'Devil May Cry 3: Dante Awakening',PS2,2005,Action,Capcom,2.09
'Derby Stallion',PS,1997,Sports,'ASCII Entertainment',2.09
'Dead Rising',X360,2006,Action,Capcom,2.09
'Finding Nemo',PS2,2003,Action,THQ,2.09
'NBA 2K11',X360,2010,Action,'Take-Two Interactive',2.09
'Wipeout: The Game',Wii,2009,Misc,Mindscape,2.09
'The Sims 2: Pets',DS,2006,Simulation,'Electronic Arts',2.09
'Battlefield: Hardline',PS4,2015,Shooter,'Electronic Arts',2.09
'Metal Gear Solid: Peace Walker',PSP,2010,Action,'Konami Digital Entertainment',2.09
'World of Warcraft: Cataclysm',PC,2010,Role-Playing,Activision,2.08
'Tetris Worlds',PS2,2002,Puzzle,THQ,2.08
'Need For Speed: Undercover',PS3,2008,Racing,'Electronic Arts',2.08
'Dance Dance Revolution: Hottest Party',Wii,2007,Simulation,'Konami Digital Entertainment',2.08
'Mario Party 5',GC,2003,Misc,Nintendo,2.08
'Ghostbusters: The Video Game (DS Version)',PS3,2010,Action,'Take-Two Interactive',2.08
'Sim Theme Park',PC,1998,Strategy,'Electronic Arts',2.08
'Warcraft: Orcs & Humans',PC,1994,Strategy,Activision,2.08
'Skate 3',PS3,2010,Sports,'Electronic Arts',2.08
'Spec Ops: Airborne Commando',PS,2002,Shooter,'Take-Two Interactive',2.07
'Kingdom Hearts: Birth by Sleep',PSP,2010,Role-Playing,'Square Enix',2.07
'UFC 2009 Undisputed',X360,2009,Fighting,THQ,2.07
'Dark Souls',PS3,2011,Role-Playing,'Namco Bandai Games',2.07
'Yu-Gi-Oh! The Eternal Duelist Soul',GBA,2001,Strategy,'Konami Digital Entertainment',2.07
'Need for Speed: ProStreet',X360,2007,Racing,'Electronic Arts',2.06
'The Sims 3',PS3,2010,Simulation,'Electronic Arts',2.06
'Tom Clancy Splinter Cell: Conviction',X360,2010,Action,Ubisoft,2.06
'Pokemon Mystery Dungeon: Red/Blue Rescue Team',GBA,2005,Role-Playing,Nintendo,2.06
'The Incredibles',GBA,2004,Action,THQ,2.06
'R4: Ridge Racer Type 4',PS,1998,Racing,'Namco Bandai Games',2.06
'SoulCalibur II',PS2,2003,Fighting,'Namco Bandai Games',2.06
'Mario & Luigi: Dream Team',3DS,2013,Role-Playing,Nintendo,2.06
'Need for Speed: ProStreet',PS3,2007,Racing,'Electronic Arts',2.05
'Carnival Games',DS,2008,Misc,'Take-Two Interactive',2.05
'NBA 2K14',PS3,2013,Sports,'Take-Two Interactive',2.05
'Pokémon Mystery Dungeon: Blue Rescue Team',DS,2005,Role-Playing,Nintendo,2.05
'Sonic Mega Collection',GC,2002,Misc,Infogrames,2.05
'Diablo III',PS3,2013,Role-Playing,Activision,2.05
'NBA Jam',GEN,1992,Sports,'Arena Entertainment',2.05
'PGR4 - Project Gotham Racing 4',X360,2007,Racing,'Microsoft Game Studios',2.05
'Kingdom Hearts 358/2 Days',DS,2009,Role-Playing,'Square Enix',2.04
'Dance Central 2',X360,2011,Misc,'Microsoft Game Studios',2.04
'Rayman Raving Rabbids: TV Party',Wii,2008,Misc,Ubisoft,2.04
'SOCOM: U.S. Navy SEALs: Combined Assault',PS2,2006,Shooter,'Sony Computer Entertainment',2.04
'Peter Jackson King Kong: The Official Game of the Movie',PS2,2005,Action,Ubisoft,2.04
'Donkey Kong Country',GBA,2003,Platform,Nintendo,2.04
'Need for Speed: The Run',PS3,2011,Action,'Electronic Arts',2.04
'Madden NFL 15',PS4,2014,Sports,'Electronic Arts',2.03
'1080°: TenEighty Snowboarding',N64,1998,Sports,Nintendo,2.03
'Just Dance 3',X360,2011,Misc,Ubisoft,2.03
'NBA Live 2004',PS2,2003,Sports,'Electronic Arts',2.03
'Dead Space',PS3,2008,Action,'Electronic Arts',2.02
'Call of Duty 2',X360,2005,Shooter,Activision,2.02
'Madden NFL 15',X360,2014,Sports,'Electronic Arts',2.02
'Forza Horizon',X360,2012,Racing,'Microsoft Game Studios',2.02
TouchMaster,DS,2007,Puzzle,'Midway Games',2.01
'Tom Clancy The Division',XOne,2016,Shooter,Ubisoft,2.01
'LEGO Marvel Super Heroes',PS3,2013,Action,'Warner Bros. Interactive Entertainment',2
'Fire Emblem: Awakening',3DS,2012,Role-Playing,Nintendo,2
DriveClub,PS4,2014,Racing,'Sony Computer Entertainment',2
'Super Street Fighter II',SNES,1993,Fighting,Nintendo,2
'Mortal Kombat vs. DC Universe',PS3,2008,Fighting,'Midway Games',2
'Tenchu: Stealth Assassins',PS,1997,Action,Activision,1.99
Tennis,GB,1989,Sports,Nintendo,1.99
'Harry Potter and the Chamber of Secrets',GBA,2002,Action,'Electronic Arts',1.99
'Harry Potter and the Chamber of Secrets',PS,2002,Action,'Electronic Arts',1.98
SimCity,SNES,1991,Simulation,Nintendo,1.98
'Battlefield 4',XOne,2013,Shooter,'Electronic Arts',1.98
'Resident Evil 6',X360,2012,Shooter,Capcom,1.98
'Dragon Age: Inquisition',PS4,2014,Role-Playing,'Electronic Arts',1.97
'Sonic Classic Collection',DS,2010,Platform,Sega,1.97
'Spyro: Enter the Dragonfly',PS2,2002,Platform,'Universal Interactive',1.97
'Call of Duty: World at War',Wii,2008,Shooter,Activision,1.97
'Devil May Cry 2',PS2,2003,Action,Capcom,1.97
'Burnout Paradise',PS3,2008,Racing,'Electronic Arts',1.97
'E.T.: The Extra Terrestrial',2600,1981,Action,Atari,1.97
'BioShock Infinite',X360,2013,Shooter,'Take-Two Interactive',1.96
'Hot Shots Golf: Open Tee',PSP,2004,Sports,'Sony Computer Entertainment',1.96
'Rad Racer',NES,1986,Racing,Nintendo,1.96
Soccer,NES,1985,Sports,Nintendo,1.96
'Kirby Squeak Squad',DS,2006,Platform,Nintendo,1.96
'Tom Clancy Rainbow Six: Vegas',X360,2006,Shooter,Ubisoft,1.96
Destiny,X360,2014,Shooter,Activision,1.95
'Crash Nitro Kart',PS2,2003,Racing,'Vivendi Games',1.95
'Grand Theft Auto: San Andreas',XB,2005,Action,'Take-Two Interactive',1.95
'Star Wars: Dark Forces',PC,1994,Shooter,LucasArts,1.95
'NBA Street Vol. 2',PS2,2003,Sports,'Electronic Arts',1.95
'Def Jam Vendetta',PS2,2003,Fighting,'Electronic Arts',1.94
'FIFA Soccer 09',X360,2008,Sports,'Electronic Arts',1.94
'Who wants to be a millionaire',PC,1999,Misc,'Disney Interactive Studios',1.94
'Scooby Doo and the Cyber Chase',PS,2001,Adventure,THQ,1.94
Alleyway,GB,1989,Puzzle,Nintendo,1.94
'Dragon Ball Z: Budokai 3',PS2,2004,Fighting,Atari,1.94
'Jet Moto 2',PS,1997,Racing,'Sony Computer Entertainment',1.94
'Tom Clancy Ghost Recon',PS2,2002,Shooter,Ubisoft,1.94
'X-Men Legends',PS2,2004,Role-Playing,Activision,1.93
'Batman: Arkham Origins',X360,2013,Action,'Warner Bros. Interactive Entertainment',1.93
'Guitar Hero: World Tour',PS3,2008,Misc,Activision,1.93
'Mortal Kombat II',SNES,1993,Fighting,'Acclaim Entertainment',1.93
'Virtua Fighter 2',SAT,1995,Fighting,Sega,1.93
'Tetris DX',GB,1998,Puzzle,Nintendo,1.93
'Mortal Kombat vs. DC Universe',X360,2008,Fighting,'Midway Games',1.93
'Watch Dogs',PS3,2014,Action,Ubisoft,1.93
'Mario Super Sluggers',Wii,2008,Sports,Nintendo,1.93
'Tomb Raider (2013)',X360,2013,Action,'Square Enix',1.92
'The Legend of Zelda: Oracle of Ages',GB,2001,Action,Nintendo,1.92
'Need for Speed: Shift',X360,2009,Racing,'Electronic Arts',1.92
Monopoly,Wii,2008,Misc,'Electronic Arts',1.92
'Red Faction',PS2,2001,Shooter,THQ,1.92
'The Sims: Makin Magic',PC,2003,Simulation,'Electronic Arts',1.92
'MX Unleashed',PS2,2004,Racing,THQ,1.92
'PaRappa The Rapper',PS,1996,Misc,'Sony Computer Entertainment',1.92
'Toy Story Mania!',Wii,2009,Misc,'Disney Interactive Studios',1.92
'Mario Party 3',N64,2000,Misc,Nintendo,1.91
'Star Wars: The Force Unleashed',Wii,2008,Action,LucasArts,1.91
'Game Party 2',Wii,2008,Misc,'Midway Games',1.91
'Destiny: The Taken King',PS4,2015,Shooter,Activision,1.91
'LEGO Star Wars III: The Clone Wars',Wii,2011,Action,LucasArts,1.91
'Star Wars Rogue Leader: Rogue Squadron II',GC,2001,Simulation,LucasArts,1.9
'Max Payne 3',PS3,2012,Shooter,'Take-Two Interactive',1.9
'Need for Speed Rivals',PS4,2013,Racing,'Electronic Arts',1.89
'Madden NFL 09',PS3,2008,Sports,'Electronic Arts',1.89
'Yokai Watch',3DS,2013,Role-Playing,Nintendo,1.89
'Ratchet & Clank Future: A Crack in Time',PS3,2009,Platform,'Sony Computer Entertainment',1.88
'Yu-Gi-Oh! Forbidden Memories',PS,1999,Role-Playing,'Konami Digital Entertainment',1.88
'Mortal Kombat: Deception',PS2,2004,Fighting,'Midway Games',1.88
'Hot Shots Golf 2',PS,1999,Sports,'Sony Computer Entertainment',1.88
'Medal of Honor: European Assault (All Region sales)',PS2,2005,Shooter,'Electronic Arts',1.88
'WCW Nitro',PS,1998,Fighting,THQ,1.88
'High School Musical: Sing It!',PS2,2007,Misc,'Disney Interactive Studios',1.87
'Star Fox Adventures',GC,2002,Adventure,Nintendo,1.87
'FIFA 2000',PS,1998,Sports,'Electronic Arts',1.87
'Dynasty Warriors 3',PS2,2001,Action,THQ,1.87
'Donkey Kong Country Returns',3DS,2013,Platform,Nintendo,1.87
'The Legend of Zelda: Oracle of Seasons',GB,2001,Adventure,Nintendo,1.86
'Madden NFL 06',XB,2005,Sports,'Electronic Arts',1.86
'Shrek 2',PS2,2004,Platform,Activision,1.86
'The Legend of Dragoon',PS,1999,Role-Playing,'Sony Computer Entertainment',1.86
'Turok 2: Seeds of Evil',N64,1997,Platform,'Acclaim Entertainment',1.86
SingStar,PS2,2004,Misc,'Sony Computer Entertainment',1.86
'LittleBigPlanet 3',PS4,2014,Platform,'Sony Computer Entertainment',1.86
'NBA Live 2002',PS2,2001,Sports,'Electronic Arts',1.86
'Phineas and Ferb',DS,2009,Action,'Disney Interactive Studios',1.86
'Chrono Cross',PS,1999,Role-Playing,SquareSoft,1.86
'GoldenEye 007 (2010)',Wii,2010,Action,Activision,1.86
'Mario Party: Island Tour',3DS,2013,Misc,Nintendo,1.85
'Jak 3',PS2,2004,Platform,'Sony Computer Entertainment',1.85
'Rayman Raving Rabbids 2',Wii,2007,Misc,Ubisoft,1.85
'Kingdom Hearts: Chain of Memories',GBA,2004,Role-Playing,'Square Enix',1.85
Pinball,NES,1984,Action,Nintendo,1.85
'inFAMOUS 2',PS3,2011,Action,'Sony Computer Entertainment',1.85
'Gran Turismo Concept 2001 Tokyo',PS2,2001,Racing,Unknown,1.84
'Demon Souls',PS3,2009,Role-Playing,'Namco Bandai Games',1.84
'NCAA Football 06',PS2,2005,Sports,'Electronic Arts',1.84
'Hey You Pikachu!',N64,1998,Simulation,Nintendo,1.83
'2 Games in 1: Sonic Advance & ChuChu Rocket!',GBA,2005,Misc,THQ,1.83
'World of Warcraft: Mists of Pandaria',PC,2012,Role-Playing,Activision,1.83
'Jet Moto',PS,1996,Racing,'Sony Computer Entertainment',1.83
'Just Cause 3',PS4,2015,Action,'Square Enix',1.83
'Secret of Mana',SNES,1993,Role-Playing,SquareSoft,1.83
'The Orange Box',X360,2007,Shooter,'Electronic Arts',1.83
'Air Combat',PS,1995,Simulation,'Sony Computer Entertainment',1.83
'Kirby: Triple Deluxe',3DS,2014,Platform,Nintendo,1.82
'Sonic & Knuckles',GEN,1994,Platform,Sega,1.82
'Namco Museum',PS2,2001,Misc,'Namco Bandai Games',1.82
'The Sims: Hot Date',PC,2001,Simulation,'Electronic Arts',1.82
'Metroid Prime 3: Corruption',Wii,2007,Shooter,Nintendo,1.82
'Dragon Quest VI: Realms of Revelation',DS,2010,Role-Playing,Nintendo,1.81
'The Evil Within',PS4,2014,Action,'Bethesda Softworks',1.81
'DDRMAX2: Dance Dance Revolution',PS2,2003,Simulation,'Konami Digital Entertainment',1.81
'Crazy Taxi',DC,2000,Racing,Sega,1.81
'Virtua Fighter 4',PS2,2002,Fighting,Sega,1.81
'Sly 2: Band of Thieves',PS2,2004,Platform,'Sony Computer Entertainment',1.81
'Guitar Hero: World Tour',PS2,2008,Misc,Activision,1.8
'Sonic Advance 2',GBA,2002,Platform,Sega,1.8
'Madden NFL 07',X360,2006,Sports,'Electronic Arts',1.8
'NBA 2K11',PS3,2010,Action,'Take-Two Interactive',1.8
'NFL GameDay 2000',PS,1999,Sports,'989 Studios',1.8
'Call of Duty: Black Ops 3',PS3,2015,Shooter,Activision,1.79
'Disney The Lion King',SNES,1994,Platform,'Virgin Interactive',1.79
'Beyond: Two Souls',PS3,2013,Adventure,'Sony Computer Entertainment',1.79
'Kinect Star Wars',X360,2012,Action,'Microsoft Game Studios',1.78
'Midnight Club II',PS2,2003,Racing,'Take-Two Interactive',1.78
